Step,Bx,By,Bz,Bm
518,0.0282819,0.241829,0.446557,0.508619
519,0.0270231,0.244783,0.43144,0.496779
520,0.0389941,0.236278,0.436349,0.497743
521,0.0383368,0.237442,0.446652,0.507293
522,0.026441,0.242891,0.420402,0.486244
523,0.0337636,0.239436,0.420341,0.484929
524,0.0441882,0.237549,0.430422,0.493604
525,0.0450347,0.239653,0.429171,0.493608
526,0.0321244,0.254027,0.430745,0.501102
527,0.042112,0.24023,0.435562,0.499197
528,0.0406126,0.243888,0.448,0.511698
529,0.0392838,0.244658,0.444885,0.509238
530,0.0376679,0.241172,0.445834,0.508282
531,0.043335,0.237734,0.440256,0.502216
532,0.0504043,0.24235,0.437027,0.502261
533,0.0445127,0.24241,0.437044,0.501748
534,0.045197,0.246243,0.429059,0.49676
535,0.0433982,0.24921,0.440591,0.508045
536,0.0269618,0.255328,0.438419,0.508065
537,0.0269404,0.260469,0.435966,0.508563
538,0.0279353,0.25963,0.440873,0.512404
539,0.0299762,0.259023,0.437283,0.509125
540,0.0321021,0.2549,0.419966,0.492317
541,0.0427637,0.252428,0.423321,0.494721
542,0.0436978,0.250372,0.424713,0.494951
543,0.0492406,0.259536,0.417553,0.494099
544,0.0512703,0.252356,0.425581,0.497425
545,0.0492582,0.255863,0.428147,0.501201
546,0.0498763,0.262639,2.52365,2.53777
547,0.0512189,0.264116,2.5627,2.57679
548,0.0500117,0.262108,2.64856,2.66197
549,0.0573978,0.253171,2.57126,2.58433
550,0.0570612,0.253717,2.65277,2.66549
551,0.0608325,0.251053,2.61537,2.62809
552,0.059654,0.255205,2.68918,2.70192
553,0.0535388,0.25502,2.59443,2.60749
554,0.0432309,0.251601,2.65527,2.66751
555,0.0452864,0.253185,2.70024,2.71247
556,0.0518609,0.255539,2.71989,2.73236
557,0.0527762,0.262115,2.68258,2.69587
558,0.039524,0.25633,2.67028,2.68284
559,0.0437802,0.261314,2.68512,2.69816
560,0.044235,0.259687,2.74687,2.75947
561,0.0373951,0.256083,2.65794,2.67051
562,0.0291636,0.256422,2.63683,2.64943
563,0.0260735,0.260096,2.68835,2.70103
564,0.0335745,0.256679,2.7281,2.74035
565,0.0347298,0.248531,2.70759,2.71919
566,0.0280504,0.248031,2.66581,2.67747
567,0.0275788,0.249513,2.69315,2.70482
568,0.0349677,0.243024,2.63393,2.64535
569,0.0429894,0.240142,2.58215,2.59365
570,0.0411219,0.235535,2.63578,2.64661
571,0.0430167,0.227266,2.68513,2.69508
572,0.0353819,0.231794,2.69304,2.70323
