PID,x0,xf,E0,Ef
472,-0.379583,-881866,100,99.9999
473,-0.379583,-881868,100,99.9999
474,-0.379583,-881868,100,99.9999
475,-0.379583,-881867,100,99.9999
476,-0.379583,-881868,100,99.9999
477,-0.379583,-881867,100,99.9999
478,-0.379583,-881867,100,99.9999
479,-0.379583,-881867,100,99.9999
480,-0.379583,-881867,100,99.9999
481,-0.379583,-881868,100,99.9999
482,-0.379583,-881868,100,99.9999
483,-0.379583,-881867,100,99.9999
484,-0.379583,-881869,100,99.9999
485,-0.379583,-881866,100,99.9999
486,-0.379583,-881867,100,99.9999
487,-0.379583,-881866,100,99.9999
488,-0.379583,-881869,100,99.9999
489,-0.379583,-881867,100,99.9999
490,-0.379583,-881867,100,99.9999
491,-0.379583,-881868,100,99.9999
492,-0.379583,-881867,100,99.9999
493,-0.379583,-881867,100,99.9999
494,-0.379583,-881867,100,99.9999
495,-0.379583,-881867,100,99.9999
496,-0.379583,-881868,100,99.9999
497,-0.379583,-881867,100,99.9999
498,-0.379583,-881867,100,99.9999
499,-0.379583,-881868,100,99.9999
500,-0.379583,-881866,100,99.9999
501,-0.379583,-881867,100,99.9999
502,-0.379583,-881867,100,99.9999
503,-0.379583,-881868,100,99.9999
