PID,weight,x,y,z,vx,vy,vz
5,1,-3.85724e+11,-7.71233e+11,1.86142e+11,6.62533e+07,-1.27083e+07,-2.14659e+07
5,1,-3.84227e+11,-7.72327e+11,1.8174e+11,6.59537e+07,-1.39513e+07,-2.10543e+07
5,1,-3.8806e+11,-7.66167e+11,1.85024e+11,6.56244e+07,-1.51616e+07,-2.06164e+07
5,1,-3.84326e+11,-7.70014e+11,1.82838e+11,6.52642e+07,-1.63397e+07,-2.01557e+07
5,1,-3.86616e+11,-7.70208e+11,1.87497e+11,6.48698e+07,-1.74906e+07,-1.96746e+07
5,1,-3.84223e+11,-7.67698e+11,1.81129e+11,6.44358e+07,-1.8622e+07,-1.91737e+07
5,1,-3.83022e+11,-7.73914e+11,1.82215e+11,6.39556e+07,-1.97416e+07,-1.86525e+07
5,1,-3.80916e+11,-7.69483e+11,1.80399e+11,6.34236e+07,-2.08537e+07,-1.81101e+07
5,1,-3.78213e+11,-7.67288e+11,1.83634e+11,6.28378e+07,-2.19569e+07,-1.75456e+07
5,1,-3.7977e+11,-7.73658e+11,1.81792e+11,6.2202e+07,-2.30437e+07,-1.69582e+07
5,1,-3.84614e+11,-7.74279e+11,1.79926e+11,6.15244e+07,-2.41032e+07,-1.63478e+07
5,1,-3.80612e+11,-7.73685e+11,1.80279e+11,6.08156e+07,-2.51253e+07,-1.57147e+07
5,1,-3.82066e+11,-7.70261e+11,1.81766e+11,6.0084e+07,-2.61032e+07,-1.5059e+07
5,1,-3.82216e+11,-7.75155e+11,1.86966e+11,5.93342e+07,-2.7035e+07,-1.43811e+07
5,1,-3.78633e+11,-7.6884e+11,1.82559e+11,5.85664e+07,-2.79221e+07,-1.36808e+07
5,1,-3.8163e+11,-7.69911e+11,1.79622e+11,5.77793e+07,-2.87667e+07,-1.29573e+07
5,1,-3.75198e+11,-7.70765e+11,1.85254e+11,5.6973e+07,-2.95696e+07,-1.22095e+07
5,1,-3.80357e+11,-7.70553e+11,1.8599e+11,5.61511e+07,-3.03295e+07,-1.14361e+07
5,1,-3.72541e+11,-7.69602e+11,1.80549e+11,5.53197e+07,-3.10436e+07,-1.0636e+07
5,1,-3.71266e+11,-7.765e+11,1.78361e+11,5.44852e+07,-3.17093e+07,-9.80901e+06
5,1,-3.73786e+11,-7.70854e+11,1.78852e+11,5.36509e+07,-3.23258e+07,-8.95606e+06
5,1,-3.36785e+11,-7.74947e+11,2.02708e+11,5.50761e+07,3.19955e+07,-7.77928e+06
