PID,weight,x0,xf,E0,Ef
6,4,-7.68071e+11,2.08789e+12,0,5.60559e-09
6,5,-7.67524e+11,2.08789e+12,0,5.60559e-09
6,1,-5.5413e+11,2.08789e+12,0,5.60559e-09
6,2,-5.52816e+11,2.08789e+12,0,5.60559e-09
6,3,-5.55719e+11,2.08789e+12,0,5.60559e-09
6,4,-5.56358e+11,2.08789e+12,0,5.60559e-09
6,5,-5.5547e+11,2.08789e+12,0,5.60559e-09
6,6,-5.511e+11,2.08792e+12,0,7.01134e-11
7,1,-8.22947e+11,2.08789e+12,0,5.60559e-09
7,1,-8.19355e+11,2.08789e+12,0,5.60559e-09
7,2,-8.19337e+11,2.08789e+12,0,5.60559e-09
7,1,-8.17733e+11,2.08789e+12,0,5.60559e-09
7,2,-8.16191e+11,2.08789e+12,0,5.60559e-09
7,3,-8.17151e+11,2.08789e+12,0,5.60559e-09
7,1,-8.02809e+11,2.08789e+12,0,5.60559e-09
7,2,-8.06703e+11,2.08789e+12,0,5.60559e-09
7,3,-8.05923e+11,2.08789e+12,0,5.60559e-09
7,4,-8.09494e+11,2.08789e+12,0,5.60559e-09
7,1,-7.80348e+11,2.08789e+12,0,5.60559e-09
7,2,-7.8243e+11,2.08789e+12,0,5.60559e-09
7,3,-7.84862e+11,2.08789e+12,0,5.60559e-09
7,4,-7.85486e+11,2.08789e+12,0,5.60559e-09
7,5,-7.8124e+11,2.08789e+12,0,5.60559e-09
7,1,3.02797e+09,2.08866e+12,0,4.56675e-09
7,2,-1.53258e+09,2.08789e+12,0,5.60559e-09
7,3,3.0609e+09,2.08789e+12,0,5.60559e-09
7,4,-3.84676e+09,2.08789e+12,0,5.60559e-09
7,5,1.54629e+09,2.08789e+12,0,5.60559e-09
7,6,3.06708e+09,2.08789e+12,0,5.60559e-09
7,1,2.91987e+09,2.08789e+12,0,5.60559e-09
7,2,1.33089e+09,2.08789e+12,0,5.60559e-09
7,3,4.02571e+09,2.08909e+12,0,5.96735e-09
7,4,2.14503e+09,2.08789e+12,0,5.60559e-09
7,5,3.51622e+09,2.08789e+12,0,5.60559e-09
7,6,6.47631e+09,2.08805e+12,0,1.13683e-08
7,7,3.33167e+09,2.08789e+12,0,5.60559e-09
8,1,-8.33237e+11,2.08789e+12,0,5.60559e-09
8,1,-8.31517e+11,2.08789e+12,0,5.60559e-09
8,2,-8.32192e+11,2.08789e+12,0,5.60559e-09
8,1,-8.2398e+11,2.08789e+12,0,5.60559e-09
8,2,-8.28388e+11,2.08789e+12,0,5.60559e-09
8,3,-8.29441e+11,2.08863e+12,0,4.33747e-09
8,1,-8.22804e+11,2.08789e+12,0,5.60559e-09
8,2,-8.25609e+11,2.08789e+12,0,5.60559e-09
8,3,-8.25495e+11,2.08789e+12,0,5.60559e-09
8,4,-8.20841e+11,2.08789e+12,0,5.60559e-09
8,1,-8.2042e+11,2.08789e+12,0,5.60559e-09
8,2,-8.15163e+11,2.08789e+12,0,5.60559e-09
8,3,-8.15299e+11,2.08789e+12,0,5.60559e-09
8,4,-8.20293e+11,2.08789e+12,0,5.60559e-09
8,5,-8.16671e+11,2.08789e+12,0,5.60559e-09
8,1,-8.123e+11,2.08789e+12,0,5.60559e-09
8,2,-8.08865e+11,2.08789e+12,0,5.60559e-09
8,3,-8.1398e+11,2.08789e+12,0,5.60559e-09
