Step,Bx,By,Bz,Bm
213,5.97512e-08,9.16293e-08,6.96444e-07,7.04982e-07
214,5.3801e-08,8.81502e-08,7.03116e-07,7.10659e-07
215,4.65662e-08,8.53067e-08,7.1091e-07,7.17522e-07
216,4.04543e-08,8.42198e-08,7.1839e-07,7.2444e-07
217,3.73044e-08,8.56064e-08,7.24165e-07,7.30161e-07
218,3.76051e-08,8.9592e-08,7.27232e-07,7.33694e-07
219,4.03485e-08,9.56763e-08,7.2718e-07,7.34556e-07
220,4.35848e-08,1.02867e-07,7.2423e-07,7.32797e-07
221,4.53815e-08,1.09948e-07,7.19127e-07,7.28898e-07
222,4.46992e-08,1.15808e-07,7.12929e-07,7.23655e-07
223,4.17577e-08,1.19717e-07,7.06789e-07,7.18071e-07
224,3.77516e-08,1.21483e-07,7.01759e-07,7.13197e-07
225,3.41203e-08,1.21431e-07,6.98651e-07,7.09946e-07
226,3.17887e-08,1.20246e-07,6.9794e-07,7.08936e-07
227,3.07744e-08,1.18748e-07,6.99727e-07,7.10399e-07
228,3.03304e-08,1.17662e-07,7.03754e-07,7.14166e-07
229,2.94984e-08,1.17464e-07,7.09463e-07,7.19726e-07
230,2.77446e-08,1.18295e-07,7.16105e-07,7.2634e-07
231,2.53239e-08,1.19952e-07,7.22851e-07,7.33173e-07
232,2.31796e-08,1.21927e-07,7.28915e-07,7.39406e-07
233,2.24287e-08,1.23491e-07,7.33659e-07,7.44318e-07
234,2.37023e-08,1.23822e-07,7.36669e-07,7.47379e-07
235,2.66896e-08,1.22181e-07,7.37808e-07,7.48332e-07
236,3.01437e-08,1.18101e-07,7.37213e-07,7.47222e-07
237,3.23788e-08,1.11542e-07,7.35244e-07,7.44361e-07
238,3.20348e-08,1.02962e-07,7.32379e-07,7.40275e-07
239,2.87315e-08,9.32663e-08,7.29104e-07,7.35606e-07
240,2.32789e-08,8.36512e-08,7.2581e-07,7.30985e-07
241,1.73321e-08,7.53716e-08,7.22753e-07,7.26879e-07
242,1.2659e-08,6.95057e-08,7.20053e-07,7.23511e-07
243,1.03795e-08,6.67624e-08,7.17731e-07,7.20904e-07
244,1.0536e-08,6.73698e-08,7.15734e-07,7.18975e-07
245,1.21754e-08,7.10602e-08,7.13954e-07,7.17585e-07
246,1.38666e-08,7.71455e-08,7.12223e-07,7.16523e-07
247,1.43801e-08,8.46633e-08,7.10321e-07,7.15493e-07
248,1.32091e-08,9.25559e-08,7.08019e-07,7.14165e-07
249,1.07154e-08,9.98432e-08,7.05141e-07,7.12255e-07
250,7.88003e-09,1.05754e-07,7.01648e-07,7.09617e-07
251,5.80646e-09,1.09798e-07,6.97704e-07,7.06315e-07
252,5.21635e-09,1.1177e-07,6.93677e-07,7.02643e-07
253,6.1503e-09,1.11716e-07,6.90087e-07,6.99098e-07
254,7.98266e-09,1.09866e-07,6.87494e-07,6.96263e-07
